Date,EVCount,AvgElectricRange
2010-01-04,0,68
2010-01-11,0,68.09090909
2010-01-18,0,68.18181818
2010-01-25,0,68.27272727
2010-02-01,0,68.36363636
2010-02-08,0,68.45454545
2010-02-15,1,68.54545455
2010-02-22,0,68.63636364
2010-03-01,0,68.72727273
2010-03-08,0,68.81818182
2010-03-15,1,68.90909091
2010-03-22,0,69
2010-03-29,1,69.09090909
2010-04-05,1,69.18181818
2010-04-12,1,69.27272727
2010-04-19,0,69.36363636
2010-04-26,1,69.45454545
2010-05-03,1,69.54545455
2010-05-10,0,69.63636364
2010-05-17,1,69.72727273
2010-05-24,1,69.81818182
2010-05-31,0,69.90909091
2010-06-07,0,70
2010-06-14,0,70.05576923
2010-06-21,1,70.11153846
2010-06-28,0,70.16730769
2010-07-05,0,70.22307692
2010-07-12,1,70.27884615
2010-07-19,0,70.33461538
2010-07-26,1,70.39038462
2010-08-02,1,70.44615385
2010-08-09,0,70.50192308
2010-08-16,1,70.55769231
2010-08-23,0,70.61346154
2010-08-30,0,70.66923077
2010-09-06,0,70.725
2010-09-13,0,70.78076923
2010-09-20,0,70.83653846
2010-09-27,1,70.89230769
2010-10-04,0,70.94807692
2010-10-11,2,71.00384615
2010-10-18,0,71.05961538
2010-10-25,3,71.11538462
2010-11-01,0,71.17115385
2010-11-08,0,71.22692308
2010-11-15,0,71.28269231
2010-11-22,0,71.33846154
2010-11-29,0,71.39423077
2010-12-06,1,71.45
2010-12-13,1,71.50576923
2010-12-20,4,71.56153846
2010-12-27,0,71.61730769
2011-01-03,1,71.67307692
2011-01-10,1,71.72884615
2011-01-17,0,71.78461538
2011-01-24,4,71.84038462
2011-01-31,6,71.89615385
2011-02-07,1,71.95192308
2011-02-14,5,72.00769231
2011-02-21,3,72.06346154
2011-02-28,3,72.11923077
2011-03-07,0,72.175
2011-03-14,2,72.23076923
2011-03-21,2,72.28653846
2011-03-28,5,72.34230769
2011-04-04,7,72.39807692
2011-04-11,10,72.45384615
2011-04-18,13,72.50961538
2011-04-25,15,72.56538462
2011-05-02,11,72.62115385
2011-05-09,12,72.67692308
2011-05-16,20,72.73269231
2011-05-23,36,72.78846154
2011-05-30,22,72.84423077
2011-06-06,47,72.9
2011-06-13,47,72.93076923
2011-06-20,41,72.96153846
2011-06-27,51,72.99230769
2011-07-04,49,73.02307692
2011-07-11,71,73.05384615
2011-07-18,74,73.08461538
2011-07-25,29,73.11538462
2011-08-01,22,73.14615385
2011-08-08,40,73.17692308
2011-08-15,45,73.20769231
2011-08-22,28,73.23846154
2011-08-29,30,73.26923077
2011-09-05,19,73.3
2011-09-12,18,73.33076923
2011-09-19,29,73.36153846
2011-09-26,47,73.39230769
2011-10-03,43,73.42307692
2011-10-10,37,73.45384615
2011-10-17,25,73.48461538
2011-10-24,24,73.51538462
2011-10-31,36,73.54615385
