Date,Price
5/26/2003,1.584
6/2/2003,1.58
6/9/2003,1.582
6/16/2003,1.622
6/23/2003,1.627
6/30/2003,1.622
7/7/2003,1.658
7/14/2003,1.643
7/21/2003,1.632
7/28/2003,1.621
8/4/2003,1.65
8/11/2003,1.7
8/18/2003,1.861
8/25/2003,1.981
9/1/2003,1.988
9/8/2003,1.967
9/15/2003,1.906
9/22/2003,1.836
9/29/2003,1.773
10/6/2003,1.727
10/13/2003,1.69
10/20/2003,1.654
10/27/2003,1.635
11/3/2003,1.624
11/10/2003,1.613
11/17/2003,1.632
11/24/2003,1.629
12/1/2003,1.614
12/8/2003,1.589
12/15/2003,1.564
12/22/2003,1.551
12/29/2003,1.544
1/5/2004,1.569
1/12/2004,1.623
1/19/2004,1.675
1/26/2004,1.693
2/2/2004,1.702
2/9/2004,1.711
2/16/2004,1.722
2/23/2004,1.78
3/1/2004,1.845
3/8/2004,1.861
3/15/2004,1.855
3/22/2004,1.849
3/29/2004,1.845
4/5/2004,1.886
4/12/2004,1.922
4/19/2004,1.997
4/26/2004,2.038
5/3/2004,2.09
5/10/2004,2.218
5/17/2004,2.277
5/24/2004,2.325
5/31/2004,2.319
6/7/2004,2.284
6/14/2004,2.241
6/21/2004,2.171
6/28/2004,2.133
7/5/2004,2.066
7/12/2004,2.041
7/19/2004,2.031
7/26/2004,2.011
8/2/2004,1.99
8/9/2004,1.976
8/16/2004,1.971
8/23/2004,1.997
8/30/2004,2.033
9/6/2004,2.028
9/13/2004,2.029
9/20/2004,2.042
9/27/2004,2.051
10/4/2004,2.077
10/11/2004,2.099
10/18/2004,2.111
10/25/2004,2.115
11/1/2004,2.114
11/8/2004,2.102
11/15/2004,2.091
11/22/2004,2.072
11/29/2004,2.04
12/6/2004,2.022
12/13/2004,1.979
12/20/2004,1.926
12/27/2004,1.898
1/3/2005,1.872
1/10/2005,1.85
1/17/2005,1.848
1/24/2005,1.865
1/31/2005,1.913
2/7/2005,1.932
2/14/2005,1.956
2/21/2005,2.028
2/28/2005,2.063
3/7/2005,2.11
3/14/2005,2.172
3/21/2005,2.201
3/28/2005,2.261
4/4/2005,2.333
4/11/2005,2.481
4/18/2005,2.515
4/25/2005,2.517
5/2/2005,2.514
5/9/2005,2.494
5/16/2005,2.456
5/23/2005,2.41
5/30/2005,2.361
6/6/2005,2.322
6/13/2005,2.301
6/20/2005,2.302
6/27/2005,2.351
7/4/2005,2.389
7/11/2005,2.464
7/18/2005,2.489
7/25/2005,2.489
8/1/2005,2.52
8/8/2005,2.59
8/15/2005,2.661
8/22/2005,2.711
8/29/2005,2.771
9/5/2005,2.995
9/12/2005,2.979
9/19/2005,2.938
9/26/2005,2.924
10/3/2005,2.929
10/10/2005,2.903
10/17/2005,2.845
10/24/2005,2.791
10/31/2005,2.665
11/7/2005,2.591
11/14/2005,2.509
11/21/2005,2.43
11/28/2005,2.381
12/5/2005,2.31
12/12/2005,2.228
12/19/2005,2.201
12/26/2005,2.187
1/2/2006,2.194
1/9/2006,2.273
1/16/2006,2.302
1/23/2006,2.341
1/30/2006,2.359
2/6/2006,2.365
2/13/2006,2.339
2/20/2006,2.296
2/27/2006,2.287
3/6/2006,2.343
3/13/2006,2.427
3/20/2006,2.529
3/27/2006,2.594
4/3/2006,2.603
4/10/2006,2.713
4/17/2006,2.793
4/24/2006,2.932
5/1/2006,3.046
5/8/2006,3.13
5/15/2006,3.173
5/22/2006,3.196
5/29/2006,3.191
6/5/2006,3.172
6/12/2006,3.148
6/19/2006,3.106
6/26/2006,3.071
7/3/2006,3.072
7/10/2006,3.078
7/17/2006,3.081
7/24/2006,3.08
7/31/2006,3.072
8/7/2006,3.095
8/14/2006,3.119
8/21/2006,3.097
8/28/2006,3.065
9/4/2006,3.01
9/11/2006,2.955
9/18/2006,2.868
9/25/2006,2.785
10/2/2006,2.716
10/9/2006,2.637
10/16/2006,2.589
10/23/2006,2.551
10/30/2006,2.501
11/6/2006,2.476
11/13/2006,2.522
11/20/2006,2.585
11/27/2006,2.591
12/4/2006,2.611
12/11/2006,2.638
12/18/2006,2.665
12/25/2006,2.682
1/1/2007,2.682
1/8/2007,2.686
1/15/2007,2.667
1/22/2007,2.616
1/29/2007,2.549
2/5/2007,2.498
2/12/2007,2.467
2/19/2007,2.508
2/26/2007,2.525
3/5/2007,2.625
3/12/2007,2.753
3/19/2007,2.834
3/26/2007,2.867
4/2/2007,2.972
4/9/2007,3.047
4/16/2007,3.124
4/23/2007,3.168
4/30/2007,3.307
5/7/2007,3.409
5/14/2007,3.459
5/21/2007,3.464
5/28/2007,3.43
6/4/2007,3.376
6/11/2007,3.302
6/18/2007,3.193
6/25/2007,3.15
7/2/2007,3.108
7/9/2007,3.079
7/16/2007,3.067
7/23/2007,3.025
7/30/2007,2.98
8/6/2007,2.956
8/13/2007,2.882
8/20/2007,2.847
8/27/2007,2.83
9/3/2007,2.856
9/10/2007,2.915
9/17/2007,2.925
9/24/2007,2.989
10/1/2007,2.998
10/8/2007,2.976
10/15/2007,2.997
10/22/2007,3.103
10/29/2007,3.174
11/5/2007,3.24
11/12/2007,3.285
11/19/2007,3.28
11/26/2007,3.28
12/3/2007,3.258
12/10/2007,3.216
12/17/2007,3.176
12/24/2007,3.168
12/31/2007,3.208
1/7/2008,3.235
1/14/2008,3.212
1/21/2008,3.151
1/28/2008,3.084
2/4/2008,3.069
2/11/2008,3.093
2/18/2008,3.201
2/25/2008,3.347
3/3/2008,3.461
3/10/2008,3.504
3/17/2008,3.552
3/24/2008,3.523
3/31/2008,3.503
4/7/2008,3.519
4/14/2008,3.594
4/21/2008,3.681
4/28/2008,3.766
5/5/2008,3.772
5/12/2008,3.849
5/19/2008,3.935
5/26/2008,4.074
6/2/2008,4.189
6/9/2008,4.283
6/16/2008,4.365
6/23/2008,4.391
6/30/2008,4.409
7/7/2008,4.412
7/14/2008,4.393
7/21/2008,4.352
7/28/2008,4.275
8/4/2008,4.186
8/11/2008,4.101
8/18/2008,4.018
8/25/2008,3.958
9/1/2008,3.925
9/8/2008,3.868
9/15/2008,3.842
9/22/2008,3.772
9/29/2008,3.726
10/6/2008,3.633
10/13/2008,3.37
10/20/2008,3.133
10/27/2008,2.867
11/3/2008,2.644
11/10/2008,2.469
11/17/2008,2.3
11/24/2008,2.124
12/1/2008,2.018
12/8/2008,1.899
12/15/2008,1.833
12/22/2008,1.831
12/29/2008,1.835
1/5/2009,1.902
1/12/2009,1.995
1/19/2009,2.04
1/26/2009,2.045
2/2/2009,2.076
2/9/2009,2.181
2/16/2009,2.237
2/23/2009,2.218
3/2/2009,2.201
3/9/2009,2.193
3/16/2009,2.175
3/23/2009,2.207
3/30/2009,2.289
4/6/2009,2.335
4/13/2009,2.363
4/20/2009,2.373
4/27/2009,2.385
5/4/2009,2.406
5/11/2009,2.519
5/18/2009,2.572
5/25/2009,2.66
6/1/2009,2.737
6/8/2009,2.813
6/15/2009,2.902
6/22/2009,2.936
6/29/2009,2.9
7/6/2009,2.886
7/13/2009,2.818
7/20/2009,2.756
7/27/2009,2.772
8/3/2009,2.82
8/10/2009,2.916
8/17/2009,2.924
8/24/2009,2.924
8/31/2009,2.958
9/7/2009,2.989
9/14/2009,3.004
9/21/2009,3.004
9/28/2009,2.959
10/5/2009,2.89
10/12/2009,2.829
10/19/2009,2.797
10/26/2009,2.848
11/2/2009,2.881
11/9/2009,2.885
11/16/2009,2.886
11/23/2009,2.894
11/30/2009,2.879
12/7/2009,2.869
12/14/2009,2.856
12/21/2009,2.815
12/28/2009,2.817
1/4/2010,2.856
1/11/2010,2.932
1/18/2010,2.932
1/25/2010,2.91
2/1/2010,2.886
2/8/2010,2.862
2/15/2010,2.833
2/22/2010,2.885
3/1/2010,2.935
3/8/2010,2.975
3/15/2010,3.001
3/22/2010,3.023
3/29/2010,3.032
4/5/2010,3.036
4/12/2010,3.083
4/19/2010,3.105
4/26/2010,3.115
5/3/2010,3.118
5/10/2010,3.125
5/17/2010,3.096
5/24/2010,3.043
5/31/2010,3.001
6/7/2010,3.003
6/14/2010,3
6/21/2010,3.017
6/28/2010,3.029
7/5/2010,3.033
7/12/2010,3.024
7/19/2010,3.07
7/26/2010,3.115
8/2/2010,3.139
8/9/2010,3.173
8/16/2010,3.173
8/23/2010,3.154
8/30/2010,3.104
9/6/2010,3.06
9/13/2010,3.047
9/20/2010,3.045
9/27/2010,3.035
10/4/2010,3.037
10/11/2010,3.083
10/18/2010,3.125
10/25/2010,3.135
11/1/2010,3.122
11/8/2010,3.121
11/15/2010,3.163
11/22/2010,3.174
11/29/2010,3.156
12/6/2010,3.199
12/13/2010,3.221
12/20/2010,3.228
12/27/2010,3.242
1/3/2011,3.253
1/10/2011,3.269
1/17/2011,3.313
1/24/2011,3.317
1/31/2011,3.314
2/7/2011,3.325
2/14/2011,3.353
2/21/2011,3.429
2/28/2011,3.519
3/7/2011,3.656
3/14/2011,3.715
3/21/2011,3.737
3/28/2011,3.823
4/4/2011,3.868
4/11/2011,3.929
4/18/2011,3.986
4/25/2011,4.02
5/2/2011,4.069
5/9/2011,4.107
5/16/2011,4.102
5/23/2011,4.029
5/30/2011,4.001
6/6/2011,3.971
6/13/2011,3.946
6/20/2011,3.927
6/27/2011,3.888
7/4/2011,3.844
7/11/2011,3.835
7/18/2011,3.852
7/25/2011,3.861
8/1/2011,3.868
8/8/2011,3.87
8/15/2011,3.834
8/22/2011,3.817
8/29/2011,3.857
9/5/2011,3.932
9/12/2011,3.947
9/19/2011,3.943
9/26/2011,3.927
10/3/2011,3.868
10/10/2011,3.841
10/17/2011,3.875
10/24/2011,3.884
10/31/2011,3.863
11/7/2011,3.834
11/14/2011,3.817
11/21/2011,3.76
11/28/2011,3.69
12/5/2011,3.643
12/12/2011,3.604
12/19/2011,3.502
12/26/2011,3.499
1/2/2012,3.491
1/9/2012,3.531
1/16/2012,3.536
1/23/2012,3.544
1/30/2012,3.568
2/6/2012,3.579
2/13/2012,3.589
2/20/2012,3.725
2/27/2012,3.942
3/5/2012,3.997
3/12/2012,4.023
3/19/2012,4.063
3/26/2012,4.136
4/2/2012,4.209
4/9/2012,4.213
4/16/2012,4.199
4/23/2012,4.17
4/30/2012,4.142
